"Locale","StoreLocale","Title","ShortDescription","Description","Feature1","Feature2","Feature3","Feature4","Feature5","Keyword1","Keyword2","Keyword3","Keyword4","Keyword5","Keyword6","Keyword7"
"af-ZA","af-ZA","JoeSSH","Gratis, oopbron Public Beta vir plaaslike SSH, SFTP en poortaanstuur op Windows x64.","JoeSSH is 'n gratis, oopbron Windows x64 Public Beta vir plaaslike SSH-werk. Koppel aan 'n gemagtigde bediener, hersien gasheersleutels, gebruik 'n interaktiewe terminaal, dra lêers met SFTP oor en bestuur plaaslike poortaanstuur. Profiele en voorkeure bly by verstek op hierdie toestel. Geen JoeSSH-rekening of gehuisveste diens is nodig nie.","Hersiening van SSH-gasheersleutels","Interaktiewe terminale","SFTP-oordragte tot 25 MiB","Plaaslike poortaanstuur slegs via teruglus","Plaaslike verbindingsprofiele","SSH","SFTP","Interaktiewe terminale","Plaaslike poortaanstuur","Plaaslike verbindingsprofiele","Windows","Public Beta"
"sq-AL","sq-AL","JoeSSH","Public Beta falas me burim të hapur për SSH lokal, SFTP dhe përcjellje portash në Windows x64.","JoeSSH është një Public Beta falas dhe me burim të hapur për punë lokale SSH në Windows x64. Lidhuni me një server të autorizuar, kontrolloni çelësat e hostit, përdorni terminalin interaktiv, transferoni skedarë me SFTP dhe menaxhoni përcjelljet lokale të porteve. Profilet dhe preferencat ruhen si parazgjedhje në këtë pajisje. Nuk kërkohet llogari JoeSSH ose shërbim i hostuar.","Kontroll i çelësit të hostit SSH","Terminal interaktiv","Transferime SFTP deri në 25 MiB","Përcjellje portash vetëm në loopback","Profile lidhjesh lokale","SSH","SFTP","Terminal interaktiv","Përcjellje portash","Profile lidhjesh","Windows","Public Beta"
"am-ET","am-ET","JoeSSH","ነጻ እና ክፍት ምንጭ Public Beta፣ ለWindows x64 አካባቢያዊ SSH፣ SFTP እና የፖርት ማስተላለፊያ።","JoeSSH በWindows x64 ላይ ለአካባቢያዊ SSH ስራ ነጻ እና ክፍት ምንጭ Public Beta ነው። ፈቃድ ያለዎትን አገልጋይ ያገናኙ፣ የአስተናጋጅ ቁልፍን ይመልከቱ፣ በመስተጋብራዊ ተርሚናል ይስሩ፣ ፋይሎችን በSFTP ያስተላልፉ እና የአካባቢ ፖርት ማስተላለፊያን ያስተዳድሩ። መገለጫዎች እና ምርጫዎች በነባሪ በዚህ መሣሪያ ላይ ይቀመጣሉ። የJoeSSH መለያ ወይም የተስተናገደ አገልግሎት አያስፈልግም።","የSSH አስተናጋጅ ቁልፍ ማረጋገጫ","መስተጋብራዊ ተርሚናል","እስከ 25 MiB የSFTP ማስተላለፊያ","በloopback ብቻ የአካባቢ ፖርት ማስተላለፊያ","የአካባቢ ግንኙነት መገለጫዎች","SSH","SFTP","መስተጋብራዊ ተርሚናል","የአካባቢ ፖርት ማስተላለፊያ","የአካባቢ ግንኙነት መገለጫዎች","Windows","Public Beta"
"ar-SA","ar-SA","JoeSSH","إصدار تجريبي عام مجاني ومفتوح المصدر لـ SSH وSFTP وتحويل المنافذ محلياً على Windows x64.","JoeSSH إصدار تجريبي عام مجاني ومفتوح المصدر للعمل المحلي عبر SSH على Windows x64. اتصل بخادم مصرح لك باستخدامه، وراجع مفاتيح المضيف، واستخدم الطرفية التفاعلية، وانقل الملفات عبر SFTP، وأدر تحويلات المنافذ المحلية. تُحفظ ملفات الاتصال والتفضيلات على هذا الجهاز افتراضياً. لا تحتاج إلى حساب JoeSSH أو خدمة مستضافة.","مراجعة مفتاح مضيف SSH","طرفية تفاعلية","نقل SFTP حتى 25 MiB","تحويل منافذ محلي عبر loopback فقط","ملفات اتصال محلية","SSH","SFTP","طرفية تفاعلية","تحويل منافذ","ملفات اتصال محلية","Windows","Public Beta"
"az-Latn-AZ","az-Latn-AZ","JoeSSH","Windows x64 üçün pulsuz, açıq mənbəli Public Beta: yerli SSH, SFTP və port yönləndirməsi.","JoeSSH Windows x64-də yerli SSH işi üçün pulsuz və açıq mənbəli Public Beta-dır. İcazəniz olan serverə qoşulun, host açarlarını yoxlayın, interaktiv terminaldan istifadə edin, faylları SFTP ilə köçürün və yerli port yönləndirməsini idarə edin. Profillər və seçimlər standart olaraq bu cihazda saxlanılır. JoeSSH hesabı və ya hostinq xidməti tələb olunmur.","SSH host açarının yoxlanması","İnteraktiv terminal","25 MiB-ə qədər SFTP köçürmələri","Yalnız loopback yerli port yönləndirməsi","Yerli bağlantı profilləri","SSH","SFTP","İnteraktiv terminal","Yerli port yönləndirməsi","Yerli bağlantı profilləri","Windows","Public Beta"
"eu-ES","eu-ES","JoeSSH","Doako eta kode irekiko Public Beta, Windows x64-n SSH lokal, SFTP eta ataka-birbidalketarako.","JoeSSH Windows x64-n SSH lokaleko lanerako doako eta kode irekiko Public Beta da. Konektatu baimena duzun zerbitzari batera, berrikusi ostalariaren gakoak, erabili terminal interaktiboa, transferitu fitxategiak SFTP bidez eta kudeatu ataka-birbidalketa lokalak. Profilak eta hobespenak gailu honetan gordetzen dira lehenespenez. Ez da JoeSSH konturik edo ostatatutako zerbitzurik behar.","SSH ostalari-gakoaren berrikuspena","Terminal interaktiboa","SFTP transferentziak 25 MiB arte","Loopback bidezko ataka-birbidalketa lokala soilik","Konexio-profil lokalak","SSH","SFTP","Terminal interaktiboa","Ataka-birbidalketa lokala","Konexio-profil lokalak","Windows","Public Beta"
"bg-BG","bg-BG","JoeSSH","Безплатна Public Beta с отворен код за локален SSH, SFTP и пренасочване на портове в Windows x64.","JoeSSH е безплатна Public Beta с отворен код за локална SSH работа в Windows x64. Свържете се със сървър, до който имате разрешен достъп, прегледайте хост ключовете, използвайте интерактивен терминал, прехвърляйте файлове със SFTP и управлявайте локални пренасочвания на портове. Профилите и настройките се пазят по подразбиране на това устройство. Не е нужен акаунт в JoeSSH или хоствана услуга.","Преглед на SSH хост ключове","Интерактивен терминал","SFTP прехвърляния до 25 MiB","Локално пренасочване само през loopback","Локални профили за връзки","SSH","SFTP","Интерактивен терминал","Локално пренасочване на портове","Локални профили","Windows","Public Beta"
"ca-ES","ca-ES","JoeSSH","Public Beta gratuïta i de codi obert per a SSH local, SFTP i reenviament de ports a Windows x64.","JoeSSH és una Public Beta gratuïta i de codi obert per treballar amb SSH local a Windows x64. Connecteu-vos a un servidor autoritzat, reviseu les claus de l'amfitrió, feu servir el terminal interactiu, transferiu fitxers amb SFTP i gestioneu reenviaments de ports locals. Els perfils i les preferències es desen per defecte en aquest dispositiu. No cal cap compte de JoeSSH ni cap servei allotjat.","Revisió de la clau de l'amfitrió SSH","Terminal interactiu","Transferències SFTP de fins a 25 MiB","Reenviament de ports local només per loopback","Perfils de connexió locals","SSH","SFTP","Terminal interactiu","Reenviament de ports","Perfils de connexió","Windows","Public Beta"
"zh-CN","zh-CN","JoeSSH","免费开源的 Public Beta，面向 Windows x64，支持本地优先 SSH、SFTP 和端口转发。","JoeSSH 是面向 Windows x64 本地 SSH 工作的免费开源 Public Beta。连接到你获授权使用的服务器，核对主机密钥，使用交互式终端，通过 SFTP 传输文件，并管理本地端口转发。连接配置和偏好设置默认保存在本机。不需要 JoeSSH 账号，也不需要托管服务。","SSH 主机密钥核对","交互式终端","单次不超过 25 MiB 的 SFTP 传输","仅限 loopback 的本地端口转发","本地连接配置","SSH","SFTP","交互式终端","本地端口转发","本地连接配置","Windows","Public Beta"
"zh-TW","zh-TW","JoeSSH","免費開源 Public Beta，適用於 Windows x64 的本機優先 SSH、SFTP 與連接埠轉送。","JoeSSH 是適用於 Windows x64 本機 SSH 工作的免費開源 Public Beta。連線到你獲授權使用的伺服器，核對主機金鑰，使用互動式終端機，透過 SFTP 傳輸檔案，並管理本機連接埠轉送。連線設定與偏好設定預設保留在此裝置上。不需要 JoeSSH 帳戶，也不需要代管服務。","SSH 主機金鑰核對","互動式終端機","單次不超過 25 MiB 的 SFTP 傳輸","僅限 loopback 的本機連接埠轉送","本機連線設定","SSH","SFTP","互動式終端機","本機連接埠轉送","本機連線設定","Windows","Public Beta"
